,Negotiation,Equality,Communal Sharing,Spatial Distance,Endurance,Synchronicity,Activity Intensity,Importance for society,Activeness,Uniqueness,Goods Exchange,Attachment,Love Expression,Socioemotional,Occupational,Mating,Information Exchange,Conflict,Valence Evaluation,Coercion,Affiliation/Coalition,Service Exchange,Visibility,Strategic,Formality and Regulation,Concreteness,Expected Reciprocity,Importance for individuals involved,Intimacy,Money Exchange
Victim - Witness,22.25,55.35714286,49.66666667,70.7,19.18181818,81.35714286,28.43478261,72.92857143,51.23076923,59.9375,13.84210526,22.41176471,17.36842105,24.4,20.9047619,3.7,51.08695652,41.26086957,58.89473684,30.77777778,38.5,30.75,48.9047619,47.5,68.81818182,37.9,30.26315789,62.95,4.8,20.63157895
Criminal - Police officer,8,9.75,17.04166667,72.90909091,13,60.78571429,38,82.77777778,53.78947368,26.29411765,5.909090909,9,2.133333333,6.111111111,80.07142857,5.333333333,46.9375,95.125,11.55555556,87.06666667,11.94117647,51.26315789,72.93333333,59.5625,71.66666667,36.61904762,16.5625,36.09090909,4.95,19.45
Criminal - Prosecutor,53.40909091,13,19.78571429,46.42857143,11.52631579,62.46666667,37.22727273,79.14285714,53.36842105,42.11111111,9.25,20.61538462,2.461538462,11,83.42105263,7.470588235,64.29411765,92.6,12.1875,80.2,18.75,60.33333333,64.16666667,73.93333333,92.8,41.16666667,34.9,50.27777778,9.4,34.21052632
Criminal - Hostage,77.66666667,2.5625,8.55,96.46666667,4.409090909,84.61904762,40.55555556,37.25,61,65.23076923,29,15.08695652,1.777777778,18.46153846,35.85,4.7,34.3125,98.58823529,2.4,97.5625,6.9,34.1875,46,60.78571429,48.73684211,40.66666667,11.9375,41.52631579,1.166666667,55.63636364
Defendant - Plaintiff,80.4,44.83333333,22,72.05555556,13.33333333,73.57142857,41.8,73.35294118,71.2,60.3125,30.33333333,11.93333333,6.307692308,6.090909091,70.42857143,0.454545455,53.96153846,96.78947368,5.714285714,66.92307692,19.9,40.69230769,72.93333333,84.72727273,92.55,68.13333333,26.9375,59.2,5.714285714,52.75
Police officer - Offender,15.38888889,11,19.65217391,75.92857143,9.133333333,70.125,30.48,81.71428571,55.71428571,27,11.17391304,13.96153846,4.785714286,11.47058824,82.68421053,5.875,62.0625,94.78947368,11.61111111,78.42857143,12.38095238,41,65.70588235,71.28571429,85.36842105,55.5,18.2,25.69230769,1.3,12.5625
Police officer - Civilian,21.5,13.31818182,30.94736842,63.68421053,23.84210526,65.17647059,30.66666667,89.82608696,42.66666667,7.857142857,16.8,23.61111111,17.2,14.26666667,87.85714286,4.8,62.05555556,65.9047619,51.83333333,66.31578947,36.77272727,83.66666667,88,63.38461538,83.92857143,33.22222222,26.69230769,51.16666667,4.222222222,22.8
Parole officer - Parolee,25.33333333,7.764705882,14,59.46666667,27.3125,61.625,53.8,89.27777778,63.125,53.8,14.14285714,31.33333333,5.842105263,10.77777778,91.13333333,0.875,80,60.35714286,57.5625,67.83333333,54.53846154,70.36363636,44.76923077,80.92307692,96.73333333,51.88888889,18.09090909,64.06666667,1.214285714,26.46666667
Consultant - Client,76.52631579,24.625,17.22727273,51.40909091,34.47058824,64.48,35.58333333,58.10526316,64.70588235,41.15789474,49.95,24.23529412,17.65,5.285714286,93.05,11.72222222,94.47826087,26.95,86.39130435,15.61111111,48.42857143,91.77777778,43,87.57894737,92.55555556,68.38095238,52.7,55.41666667,6.428571429,94
Chef - Customer,44.6,36,6.941176471,63.5,11.26666667,58.70588235,15,58.42857143,43,9.631578947,94.53333333,20.7,10.5,25.42105263,85.78571429,2.857142857,40.625,22.34782609,72.53333333,10.75,38.5625,94.63636364,74.83333333,79,80,91.8125,39.33333333,26.3125,0.947368421,91.06666667
Customer - Server,41.83333333,27.65,2.882352941,87.33333333,10.625,61.52941176,26.11764706,59.92857143,69.51724138,11.77777778,90.45454545,19.5,18.23529412,16.25,88.26315789,3.071428571,72.4375,35.13636364,73.44444444,24.94117647,35.61904762,94.22727273,75.55,85.55555556,91.61111111,89.88235294,62.39130435,44.18181818,5.909090909,97.46666667
Customer - Businessman,79.42857143,37.35714286,7.866666667,66.76470588,27.6,77.17647059,38.47058824,72.75,73.30769231,23.125,88.11764706,23,4.5,1.117647059,79.57142857,2.4375,80.3125,30.76470588,58,35.10526316,31.91666667,97.375,82.26666667,98.5625,89.29411765,94.5,68,44.47619048,4.153846154,98.86666667
Doctor - Patient,40.88235294,13.65,11.15,75.1875,44.78571429,86.72727273,45.27777778,85.93333333,69.3,37.61111111,45.88888889,41.5,25.47058824,15.11764706,89.42857143,6.681818182,88.6,20.375,86.06666667,20.26086957,42.6875,75.45454545,17.28571429,70.52941176,89.26666667,70.55,34.13333333,71.375,7.642857143,87.625
Doctor - Nurse,47.5625,24.86666667,46.88888889,77.78947368,57,81.04545455,62.68421053,89.66666667,75.36842105,43.5,20.86666667,36.53333333,30.16666667,9,94.21428571,8.666666667,87.71428571,33.13043478,82.88235294,24.46153846,80.52380952,70.875,64.33333333,67.47368421,90.07692308,61.5,62,66.93333333,10.23076923,43.63157895
Patient - Caretaker,41.0625,15.21428571,31.64705882,91.6,44.61538462,85.0625,69.05555556,85.85714286,92.94444444,46.46153846,33.78947368,74.90909091,57.81818182,38.2,80.05555556,9.1,80.22222222,27.04761905,79.8,13.57142857,58.5625,87.83333333,46.66666667,51,82.68421053,66.42857143,24.95,84.9375,29,64.16
Driver - Passenger,64.15384615,36.08333333,34.77777778,97.46153846,18.6,93.5,19.15789474,58.71428571,71.4375,17.53333333,40.90909091,32.14285714,14.92307692,25.53846154,48,3.941176471,54.3,41.83333333,75.625,6.636363636,47.66666667,61.6,65.52941176,58.3125,59.5,73.4,41.55555556,42.92307692,13.22222222,46.7
Coach - athlete,47.33333333,22.22727273,42.84210526,80.06666667,56.72222222,78.35714286,67.91666667,61.4375,84.625,43.91304348,28.90909091,72.15384615,42,22.875,95.25,0.25,92.38888889,38.875,83.92857143,33.16666667,79.57142857,75.58823529,75.68421053,71.6,68.95238095,41.8125,55.75,71.95238095,19.4375,46.93333333
Team Captain - Team Members,47.84210526,23.5,60.66666667,70.73333333,50.11111111,88.4,74.125,40.64285714,79.47058824,33.1875,16.5,51.21428571,46.5,14.53846154,73.92857143,0,87.18181818,26.77777778,81,30,88.47058824,49.71428571,79.86666667,70,76.4,35.36363636,70,76.33333333,9.733333333,23.08333333
